                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                  1.352,                0.88376,                 1.2675,                0.88391,                0.84211,                0.86118,                0.65862,                 1.0666,                0.66844,                 1.2185,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.4146,                0.90753,                 1.3144,                0.92463,                0.89474,                0.90371,                0.66666,                   1.14,                0.66073,                 1.2001,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.4315,                 0.8856,                 1.2999,                0.94026,                0.82899,                0.89525,                0.67882,                 1.0422,                0.66019,                 1.1883,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.3401,                 0.8371,                 1.2568,                0.88518,                0.84211,                0.87491,                0.68754,                 0.9523,                0.60892,                 1.1516,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.3142,                0.88097,                 1.2918,                0.98457,                0.84211,                0.91573,                0.66656,                 1.1405,                0.67304,                 1.1716,               0.001307,               0.001307,               0.001307
                    107,                  1.326,                  0.858,                 1.2682,                      1,                0.83986,                0.92077,                0.68613,                 1.0258,                0.67294,                 1.1346,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.3489,                0.85069,                 1.2635,                0.99877,                0.78947,                0.90462,                0.68308,                 1.0153,                  0.706,                 1.1361,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.2886,                0.81717,                 1.2419,                0.62878,                0.57895,                0.68261,                0.44397,                 1.3416,                 1.2674,                 1.2548,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.3715,                0.90254,                 1.2902,                0.83778,                0.54457,                0.66872,                0.40657,                 1.6098,                 1.4244,                 1.3534,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.4205,                0.89853,                 1.3228,                0.95248,                0.78947,                0.85986,                 0.5965,                 1.2205,                0.81487,                 1.2297,               0.001274,               0.001274,               0.001274
                    112,                 1.3196,                0.84889,                 1.2697,                 0.9902,                0.89474,                0.89808,                0.67781,                 1.1582,                0.69457,                 1.1932,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.3454,                0.86501,                 1.2882,                0.93611,                0.89474,                0.91418,                0.64439,                 1.1836,                 0.7041,                 1.1919,              0.0012608,              0.0012608,              0.0012608
                    114,                  1.388,                0.82717,                 1.2417,                0.94655,                0.93268,                0.93867,                0.65247,                0.97981,                0.73684,                 1.1023,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.3392,                0.83911,                 1.2706,                 0.8461,                0.89474,                 0.8588,                0.47823,                 1.6576,                 1.4934,                 1.3141,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.5869,                0.90293,                 1.4051,                0.82882,                0.89474,                0.90854,                 0.4667,                  1.809,                 1.1399,                 1.3572,               0.001241,               0.001241,               0.001241
                    117,                 1.5294,                0.90644,                 1.3092,                0.94097,                0.83911,                0.86758,                0.65788,                0.95863,                0.65331,                 1.1426,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.3499,                0.88856,                  1.299,                0.93672,                0.84211,                0.86974,                0.58019,                 1.1722,                 0.7204,                 1.1885,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.4494,                0.92549,                 1.3121,                      1,                0.92812,                0.94649,                0.66358,                 1.0275,                0.69544,                 1.1146,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.2925,                0.83585,                 1.2254,                 0.9444,                0.89394,                0.93775,                0.61107,                 1.3795,                0.78603,                 1.1781,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.4024,                0.83067,                 1.2673,                 0.8976,                0.92334,                 0.9381,                0.74776,                0.88122,                0.80075,                 1.0648,               0.001208,               0.001208,               0.001208
                    122,                 1.3452,                0.84607,                  1.295,                0.85053,                0.89474,                 0.9217,                0.63228,                 1.1724,                0.98547,                 1.1295,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.2879,                0.81565,                 1.2365,                 0.8817,                0.78479,                0.80896,                0.46695,                 1.5645,                 1.0404,                 1.2839,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.3884,                 0.8678,                 1.2895,                0.93385,                0.89474,                0.92655,                0.65034,                 1.0627,                 0.8473,                 1.1396,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.3183,                0.85793,                 1.2532,                      1,                0.94418,                0.94646,                0.65485,                 1.0672,                0.66187,                 1.1275,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.2824,                0.79577,                 1.2087,                0.98791,                0.89474,                0.91898,                0.63138,                 1.0578,                0.68638,                 1.1179,               0.001175,               0.001175,               0.001175
                    127,                 1.3222,                0.83098,                 1.2807,                0.99231,                0.84211,                0.87846,                0.61172,                 1.1281,                0.70933,                 1.1724,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.3683,                0.83155,                 1.2786,                0.98555,                0.84211,                0.89123,                0.61059,                 1.2062,                0.69802,                 1.2094,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.2966,                0.84685,                 1.2496,                 0.8946,                0.89353,                0.92716,                0.67728,                0.96788,                0.67912,                 1.1135,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.2529,                 0.7997,                 1.2326,                0.82939,                0.89474,                0.91699,                0.68932,                 1.0131,                0.76689,                 1.1247,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.3021,                0.79855,                 1.2345,                0.89776,                  0.925,                0.93616,                0.69951,                  1.029,                0.66105,                 1.1243,               0.001142,               0.001142,               0.001142
                    132,                 1.1987,                0.74607,                  1.201,                      1,                0.83434,                0.90699,                0.67572,                0.93634,                0.63426,                 1.1361,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.3316,                0.82603,                 1.2984,                0.89327,                0.88151,                0.90305,                0.67971,                0.98993,                0.67209,                  1.118,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.2696,                0.76809,                 1.2008,                0.93537,                0.89474,                0.91905,                0.63667,                  1.213,                0.71925,                 1.1671,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.3423,                0.80971,                 1.2779,                0.89793,                0.92666,                0.91797,                0.67322,                 1.0805,                0.72416,                 1.1225,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.3578,                0.80751,                 1.2351,                0.85705,                0.94666,                0.91096,                0.62866,                 1.1941,                0.76292,                 1.1567,               0.001109,               0.001109,               0.001109
                    137,                 1.3703,                0.79911,                 1.2626,                0.99053,                0.89474,                0.94357,                0.60914,                 1.2482,                0.71181,                 1.1826,              0.0011024,              0.0011024,              0.0011024
                    138,                  1.346,                0.79744,                 1.2582,                0.99825,                0.89474,                0.90396,                0.64865,                 1.1086,                0.67383,                 1.1734,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.2855,                0.79384,                 1.1845,                0.99003,                0.89474,                0.90134,                0.63952,                0.96946,                0.64806,                 1.1287,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.3354,                0.84979,                 1.2595,                0.99129,                0.89474,                0.90062,                0.66518,                0.95705,                0.62421,                 1.0941,              0.0010826,              0.0010826,              0.0010826
                    141,                  1.277,                0.79449,                 1.2224,                0.98292,                0.89474,                0.92165,                0.61449,                 1.1864,                0.71978,                 1.1524,               0.001076,               0.001076,               0.001076
                    142,                  1.261,                0.80804,                 1.2459,                0.98497,                0.89474,                0.92571,                0.68691,                  1.018,                0.70487,                 1.1035,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.2592,                0.78471,                 1.2302,                0.94687,                0.93847,                0.93796,                0.68651,                 1.0186,                0.68055,                 1.1058,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.3229,                0.77948,                 1.2632,                0.84292,                0.94737,                0.92031,                0.57252,                 1.3061,                0.72856,                 1.1953,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.2596,                0.75696,                 1.2164,                0.99896,                0.94737,                0.94702,                0.70354,                 0.9095,                0.58405,                 1.0664,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.3261,                0.79455,                 1.2351,                0.94702,                0.94114,                0.94465,                 0.7191,                 0.9316,                0.61458,                 1.0928,               0.001043,               0.001043,               0.001043
                    147,                 1.2809,                0.81734,                 1.2424,                0.93797,                0.89474,                0.93058,                0.70173,                0.93116,                0.65956,                 1.0711,              0.0010364,              0.0010364,              0.0010364
